17大类,商品名,L1_code,L1_名称,L2_code,L2_名称,L3_code,L3_名称,L4_code(叶),L4_名称(叶),叶子状态,归类性质,匹配方式,置信度
平立面装修类,主龙骨吊件,19,装饰材料,19.008,龙骨,19.008.002,龙骨配件,19.008.002.001,龙骨配件,现有,语义推测,语义分类,high
平立面装修类,地毯,02,安防,02.004,防滑安全,02.004.001,安全地垫,02.004.001.005,地毯,现有,语义推测,语义救回,high
平立面装修类,地毯垫,19,装饰材料,19.007,地面装饰,(待生成),地毯衬垫  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
平立面装修类,地面瓷砖,19,装饰材料,19.007,地面装饰,19.007.005,砖类,19.007.005.001,瓷砖,现有,语义推测,语义分类,high
平立面装修类,墙面瓷砖,19,装饰材料,19.007,地面装饰,19.007.005,砖类,19.007.005.001,瓷砖,现有,语义推测,语义分类,high
平立面装修类,夹层玻璃,20,门窗,20.003,窗,20.003.014,玻璃,20.003.014.006,特种玻璃,现有,语义推测,语义分类,low
平立面装修类,安全玻璃,20,门窗,20.003,窗,20.003.014,玻璃,20.003.014.006,特种玻璃,现有,语义推测,语义分类,low
平立面装修类,推拉门,20,门窗,20.008,玻璃门,20.008.001,室内玻璃门,20.008.001.002,玻璃推拉门,现有,语义推测,语义分类,med
平立面装修类,旋转门,20,门窗,20.008,玻璃门,20.008.002,室外玻璃门,20.008.002.002,玻璃旋转门,现有,语义推测,语义分类,high
平立面装修类,烤漆挂件,19,装饰材料,19.008,龙骨,19.008.002,龙骨配件,19.008.002.001,龙骨配件,现有,语义推测,语义分类,high
平立面装修类,玻璃门,20,门窗,20.008,玻璃门,20.008.002,室外玻璃门,20.008.002.004,玻璃门,现有,语义推测,语义分类,high
平立面装修类,磨砂玻璃,20,门窗,20.003,窗,20.003.014,玻璃,20.003.014.005,磨砂玻璃,现有,语义推测,语义分类,high
平立面装修类,窗帘杆,20,门窗,20.003,窗,20.003.004,门窗,20.003.004.001,窗配件,现有,语义推测,语义分类,low
平立面装修类,自动门,20,门窗,20.008,玻璃门,20.008.002,室外玻璃门,20.008.002.003,玻璃平移门,现有,语义推测,语义分类,med
平立面装修类,花岗岩,19,装饰材料,19.007,地面装饰,19.007.006,墙地面石材,19.007.006.005,花岗石,现有,语义推测,语义分类,high
平立面装修类,踏步砖,19,装饰材料,19.007,地面装饰,19.007.005,砖类,19.007.005.001,瓷砖,现有,语义推测,语义分类,med
平立面装修类,边龙骨,19,装饰材料,19.008,龙骨,19.008.002,龙骨配件,19.008.002.001,龙骨配件,现有,语义推测,语义分类,high
平立面装修类,透明玻璃砖,19,装饰材料,19.007,地面装饰,19.007.005,砖类,19.007.005.002,玻璃砖,现有,语义推测,语义分类,high
平立面装修类,金库门,20,门窗,20.002,金属制门,20.002.001,防盗门,20.002.001.001,防盗门,现有,语义推测,语义分类,low
平立面装修类,铅玻璃,20,门窗,20.003,窗,20.003.014,玻璃,20.003.014.006,特种玻璃,现有,语义推测,语义分类,low
平立面装修类,铝合金窗,20,门窗,20.003,窗,20.003.002,铝合金窗,20.003.002.001,铝合金窗,现有,语义推测,语义分类,high
平立面装修类,铝合金门,20,门窗,20.002,金属制门,20.002.002,铝合金门,20.002.002.001,铝合金门,现有,语义推测,语义分类,high
平立面装修类,铝合金隔断,19,装饰材料,19.005,隔断装饰,(待生成),铝合金隔断  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
平立面装修类,防潮石膏板,19,装饰材料,19.002,装饰板材,19.002.006,石膏板,19.002.006.002,特种石膏板,现有,语义推测,语义分类,med
平立面装修类,防火石膏板,19,装饰材料,19.002,装饰板材,19.002.006,石膏板,19.002.006.002,特种石膏板,现有,语义推测,语义分类,med
平立面装修类,马赛克,19,装饰材料,19.007,地面装饰,19.007.005,砖类,19.007.005.001,瓷砖,现有,语义推测,语义分类,low
强弱电类,万用电表,31,中低压配电,31.004,电力仪表,31.004.001,电压表,(待生成),万用电表(万用表)  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,万能转换开关,14,工控自动化,14.002,工业控制,14.002.004,万能转换开关,14.002.004.001,万能转换开关,现有,语义推测,语义分类,high
强弱电类,三向开关,15,电工辅料,15.002,开关插座,15.002.005,面板开关,15.002.005.001,面板开关,现有,语义推测,语义分类,low
强弱电类,三相变压器,31,中低压配电,31.005,电力变压器,31.005.003,三相变压器,,,现有,语义推测,语义分类,high
强弱电类,三相四极插座,31,中低压配电,31.007,电气辅材,31.007.004,工业连接器,31.007.004.002,工业插座,现有,语义推测,语义分类,med
强弱电类,三相插头,31,中低压配电,31.007,电气辅材,31.007.004,工业连接器,31.007.004.001,工业插头,现有,语义推测,语义分类,med
强弱电类,三相电度表,31,中低压配电,31.004,电力仪表,31.004.005,电能表,31.004.005.001,电能表,现有,语义推测,语义分类,med
强弱电类,三联开关,15,电工辅料,15.002,开关插座,15.002.005,面板开关,15.002.005.001,面板开关,现有,语义推测,语义分类,low
强弱电类,不停电电源,31,中低压配电,31.006,电源设备,31.006.004,不间断电源,31.006.004.001,UPS不间断电源,现有,语义推测,语义分类,high
强弱电类,中性线，零线,12,电线电缆,12.001,电气装备用电线电缆,12.001.014,塑铜线,12.001.014.001,塑铜线（BV),现有,语义推测,语义分类,low
强弱电类,中继器,02,安防,02.006,安防监控设备,02.006.002,通讯设备,02.006.002.011,中继台,现有,语义推测,语义分类,low
强弱电类,中继电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.011,特种电缆,12.001.011.004,数码电子信号线,现有,语义推测,语义分类,low
强弱电类,中继线,12,电线电缆,12.001,电气装备用电线电缆,12.001.011,特种电缆,12.001.011.004,数码电子信号线,现有,语义推测,语义分类,low
强弱电类,串联电抗器,31,中低压配电,31.006,电源设备,31.006.011,电抗器,31.006.011.001,电抗器,现有,语义推测,语义分类,med
强弱电类,主开关,31,中低压配电,31.003,低压配电,31.003.005,隔离开关,31.003.005.001,隔离开关,现有,语义推测,语义分类,low
强弱电类,主馈线,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,(待生成),主馈线  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,乙烯绝缘软性电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.013,橡套电缆,12.001.013.001,GB橡套电缆,现有,语义推测,语义分类,med
强弱电类,乳白灯泡,11,灯具照明,11.002,光源、配件,11.002.001,传统光源,11.002.001.001,白炽灯,现有,语义推测,语义分类,low
强弱电类,乳白玻璃,13,电力穿线,13.001,电缆桥架,13.001.001,玻璃钢桥架,(待生成),乳白玻璃  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,乳白玻璃球型灯,11,灯具照明,11.001,室内灯具,11.001.002,家居灯具,11.001.002.002,装饰灯,现有,语义推测,语义分类,low
强弱电类,交流电度表,31,中低压配电,31.004,电力仪表,31.004.005,电能表,31.004.005.001,电能表,现有,语义推测,语义分类,med
强弱电类,交联聚乙烯绝缘电缆,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,12.002.003.001,低压电力电缆(YJV),现有,语义推测,语义分类,high
强弱电类,传真机,14,工控自动化,14.001,工业自动化,14.001.007,工控机,(待生成),传真机  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,伺服电动机,14,工控自动化,14.001,工业自动化,14.001.002,运动控制,14.001.002.001,伺服电机,现有,语义推测,语义分类,high
强弱电类,低压无功功率补偿装置,31,中低压配电,31.001,终端配电,31.001.005,终端配电设备,31.001.005.001,无功补偿控制器,现有,语义推测,语义分类,med
强弱电类,低压熔断器,31,中低压配电,31.001,终端配电,31.001.004,熔断器,31.001.004.001,熔断器,现有,语义推测,语义分类,high
强弱电类,低压配电屏,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,31.002.002.001,成套配电箱,现有,语义推测,语义分类,low
强弱电类,低压配电装置,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,31.002.002.001,成套配电箱,现有,语义推测,语义分类,low
强弱电类,低压静电电容器屏,31,中低压配电,31.006,电源设备,31.006.009,电容器,31.006.009.001,电容器,现有,语义推测,语义分类,med
强弱电类,低周率继电器,14,工控自动化,14.002,工业控制,14.002.008,继电器,14.002.008.009,继电器其它,现有,语义推测,语义分类,low
强弱电类,低损耗变压器,31,中低压配电,31.006,电源设备,31.006.005,变压器,31.006.005.004,变压器,现有,语义推测,语义分类,med
强弱电类,供电干线,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,(待生成),供电干线  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,信号电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.011,特种电缆,12.001.011.004,数码电子信号线,现有,语义推测,语义分类,med
强弱电类,信号继电器,14,工控自动化,14.002,工业控制,14.002.008,继电器,14.002.008.009,继电器其它,现有,语义推测,语义分类,low
强弱电类,充氪白炽灯,11,灯具照明,11.002,光源、配件,11.002.001,传统光源,11.002.001.001,白炽灯,现有,语义推测,语义分类,med
强弱电类,全封闭的变压器,31,中低压配电,31.006,电源设备,31.006.005,变压器,31.006.005.004,变压器,现有,语义推测,语义分类,med
强弱电类,六氟化硫断路器,31,中低压配电,31.008,中压配电,31.008.002,真空断路器,31.008.002.001,真空断路器,现有,语义推测,语义分类,low
强弱电类,减压器,31,中低压配电,31.006,电源设备,31.006.002,调压器,31.006.002.001,调压器,现有,语义推测,语义分类,low
强弱电类,减压起动器,14,工控自动化,14.001,工业自动化,14.001.012,软起动器,14.001.012.001,软起动器,现有,语义推测,语义分类,med
强弱电类,出线,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,(待生成),出线  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,出线屏,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,31.002.002.001,成套配电箱,现有,语义推测,语义分类,low
强弱电类,刀开关,31,中低压配电,31.003,低压配电,31.003.005,隔离开关,31.003.005.003,刀开关,现有,语义推测,语义分类,high
强弱电类,分支器,12,电线电缆,12.005,计算机网络,12.005.001,光传输,12.005.001.012,分光器,现有,语义推测,语义分类,low
强弱电类,分级转换开关,14,工控自动化,14.002,工业控制,14.002.004,万能转换开关,14.002.004.001,万能转换开关,现有,语义推测,语义分类,med
强弱电类,分线箱,12,电线电缆,12.005,计算机网络,12.005.001,光传输,12.005.001.014,光纤配线架,现有,语义推测,语义分类,low
强弱电类,分配器,02,安防,02.006,安防监控设备,02.006.004,传输设备,02.006.004.002,数字矩阵,现有,语义推测,语义分类,low
强弱电类,前端放大器,02,安防,02.006,安防监控设备,02.006.004,传输设备,(待生成),前端放大器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,功率因数表,31,中低压配电,31.004,电力仪表,31.004.002,功率表,31.004.002.001,功率表,现有,语义推测,语义分类,med
强弱电类,动力配电箱,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,31.002.002.001,成套配电箱,现有,语义推测,语义分类,med
强弱电类,动力馈电屏,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,31.002.002.001,成套配电箱,现有,语义推测,语义分类,low
强弱电类,励磁机,31,中低压配电,31.006,电源设备,31.006.005,变压器,(待生成),励磁机  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,区域报警器,14,工控自动化,14.002,工业控制,14.002.003,信号灯,14.002.003.003,报警器,现有,语义推测,语义分类,high
强弱电类,升压器,31,中低压配电,31.006,电源设备,31.006.005,变压器,31.006.005.004,变压器,现有,语义推测,语义分类,med
强弱电类,半圆球灯,11,灯具照明,11.001,室内灯具,11.001.002,家居灯具,11.001.002.002,装饰灯,现有,语义推测,语义分类,low
强弱电类,单刀双掷开关,14,工控自动化,14.002,工业控制,14.002.009,控制开关,14.002.009.005,钮子开关,现有,语义推测,语义分类,med
强弱电类,单控开关,15,电工辅料,15.002,开关插座,15.002.005,面板开关,15.002.005.001,面板开关,现有,语义推测,语义分类,low
强弱电类,单相二极插头,15,电工辅料,15.002,开关插座,15.002.001,插头,15.002.001.001,常规插头,现有,语义推测,语义分类,med
强弱电类,单相变压器,31,中低压配电,31.006,电源设备,31.006.005,变压器,31.006.005.004,变压器,现有,语义推测,语义分类,med
强弱电类,单相插座,15,电工辅料,15.002,开关插座,15.002.002,插座,15.002.002.001,插座,现有,语义推测,语义分类,med
强弱电类,单相电度表,31,中低压配电,31.004,电力仪表,31.004.005,电能表,31.004.005.001,电能表,现有,语义推测,语义分类,med
强弱电类,单联开关,15,电工辅料,15.002,开关插座,15.002.005,面板开关,15.002.005.001,面板开关,现有,语义推测,语义分类,low
强弱电类,单芯电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.014,塑铜线,12.001.014.001,塑铜线（BV),现有,语义推测,语义分类,med
强弱电类,单频道放大器,02,安防,02.006,安防监控设备,02.006.004,传输设备,(待生成),单频道放大器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,卡口插座,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.007,灯口,现有,语义推测,语义分类,high
强弱电类,卫星,02,安防,02.006,安防监控设备,02.006.002,通讯设备,(待生成),卫星  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,压力开关,14,工控自动化,14.002,工业控制,14.002.009,控制开关,14.002.009.014,压力开关,现有,语义推测,语义分类,high
强弱电类,双侧鞭形照明灯柱,11,灯具照明,11.004,室外灯具,11.004.001,道路交通灯具,11.004.001.007,灯杆,现有,语义推测,语义分类,med
强弱电类,双控开关,15,电工辅料,15.002,开关插座,15.002.005,面板开关,15.002.005.001,面板开关,现有,语义推测,语义分类,low
强弱电类,双联开关,15,电工辅料,15.002,开关插座,15.002.005,面板开关,15.002.005.001,面板开关,现有,语义推测,语义分类,low
强弱电类,双股电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.017,双绞线,12.001.017.001,双绞线（RVS),现有,语义推测,语义分类,med
强弱电类,发射天线,14,工控自动化,14.002,工业控制,14.002.002,工业控制其它,14.002.002.004,电子天线,现有,语义推测,语义分类,low
强弱电类,发射机,02,安防,02.006,安防监控设备,02.006.002,通讯设备,(待生成),发射机  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,变阻器,31,中低压配电,31.006,电源设备,31.006.006,变阻器,31.006.006.001,变阻器,现有,语义推测,语义分类,high
强弱电类,可调变压器,31,中低压配电,31.006,电源设备,31.006.002,调压器,31.006.002.001,调压器,现有,语义推测,语义分类,med
强弱电类,合闸位置继电器,14,工控自动化,14.002,工业控制,14.002.008,继电器,14.002.008.009,继电器其它,现有,语义推测,语义分类,low
强弱电类,吊扇,10,电器,10.003,生活电器,10.003.001,生活小家电,10.003.001.013,电风扇,现有,语义推测,语义分类,low
强弱电类,吊臂灯柱,11,灯具照明,11.004,室外灯具,11.004.001,道路交通灯具,(待生成),吊臂灯柱  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,吊钩,13,电力穿线,13.010,电缆辅材,13.010.005,电力金具其它,13.010.005.001,电力金具其它,现有,语义推测,语义分类,low
强弱电类,同声翻译系统,14,工控自动化,14.001,工业自动化,14.001.007,工控机,(待生成),同声翻译系统  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,同步器,31,中低压配电,31.006,电源设备,31.006.005,变压器,(待生成),同步器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,吸顶灯,11,灯具照明,11.001,室内灯具,11.001.001,商业灯具,11.001.001.001,吸顶灯,现有,语义推测,语义分类,high
强弱电类,固定式低压配电屏,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,31.002.002.001,成套配电箱,现有,语义推测,语义分类,low
强弱电类,圆柱形壁灯,11,灯具照明,11.004,室外灯具,11.004.002,景观灯具,11.004.002.011,壁灯,现有,语义推测,语义分类,med
强弱电类,圆球灯,11,灯具照明,11.001,室内灯具,11.001.002,家居灯具,11.001.002.002,装饰灯,现有,语义推测,语义分类,low
强弱电类,地下电缆,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,12.002.003.001,低压电力电缆(YJV),现有,语义推测,语义分类,low
强弱电类,垂直接地极,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.005,镀铜接地棒,现有,语义推测,语义分类,high
强弱电类,垫块,13,电力穿线,13.010,电缆辅材,13.010.005,电力金具其它,13.010.005.001,电力金具其它,现有,语义推测,语义分类,low
强弱电类,垫木,13,电力穿线,13.010,电缆辅材,13.010.005,电力金具其它,13.010.005.001,电力金具其它,现有,语义推测,语义分类,low
强弱电类,埋地线,13,电力穿线,13.009,接地系统,13.009.002,保护接地,13.009.002.004,铜接地线,现有,语义推测,语义分类,med
强弱电类,塑料外壳式断路器,31,中低压配电,31.003,低压配电,31.003.006,塑壳断路器,31.003.006.001,塑壳断路器,现有,语义推测,语义分类,high
强弱电类,塑料绝缘电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.014,塑铜线,12.001.014.001,塑铜线（BV),现有,语义推测,语义分类,med
强弱电类,墙式电缆槽,13,电力穿线,13.004,线槽,13.004.001,PVC线槽,13.004.001.001,PVC线槽,现有,语义推测,语义分类,med
强弱电类,声光报警,14,工控自动化,14.002,工业控制,14.002.003,信号灯,14.002.003.003,报警器,现有,语义推测,语义分类,med
强弱电类,多相电度表,31,中低压配电,31.004,电力仪表,31.004.005,电能表,31.004.005.001,电能表,现有,语义推测,语义分类,med
强弱电类,多隙避雷器,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.003,避雷器,现有,语义推测,语义分类,high
强弱电类,天线,14,工控自动化,14.002,工业控制,14.002.002,工业控制其它,14.002.002.004,电子天线,现有,语义推测,语义分类,med
强弱电类,天线放大器,12,电线电缆,12.006,通信电缆和通信光缆,12.006.003,视频线,(待生成),天线信号放大器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,太平门灯,11,灯具照明,11.006,应急灯具,11.006.002,消防应急灯具,,,现有,语义推测,语义分类,high
强弱电类,子母钟系统,02,安防,02.006,安防监控设备,02.006.011,安防监控设备其它,(待生成),子母钟系统  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,子钟,02,安防,02.006,安防监控设备,02.006.011,安防监控设备其它,(待生成),子钟  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,安全灯,11,灯具照明,11.005,工业灯具,11.005.001,防爆灯具,11.005.001.013,防爆工作灯,现有,语义推测,语义分类,low
强弱电类,安全电视系统,02,安防,02.006,安防监控设备,02.006.011,安防监控设备其它,02.006.011.004,安防监控其他,现有,语义推测,语义分类,low
强弱电类,定向继电器,14,工控自动化,14.002,工业控制,14.002.008,继电器,14.002.008.009,继电器其它,现有,语义推测,语义分类,low
强弱电类,定子,14,工控自动化,14.001,工业自动化,14.001.002,运动控制,(待生成),电机定子  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,实心电缆,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,(待生成),实心导体电缆  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,容式镇流器,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.002,镇流器,现有,语义推测,语义分类,med
强弱电类,密闭式灯,11,灯具照明,11.005,工业灯具,11.005.002,工矿灯具,11.005.002.006,三防灯,现有,语义推测,语义分类,med
强弱电类,对讲机,02,安防,02.006,安防监控设备,02.006.002,通讯设备,02.006.002.003,对讲机,现有,语义推测,语义分类,high
强弱电类,封闭式开关,31,中低压配电,31.003,低压配电,31.003.005,隔离开关,31.003.005.003,刀开关,现有,语义推测,语义分类,low
强弱电类,封闭式母线,12,电线电缆,12.002,电力电缆,12.002.002,母线,12.002.002.001,母线槽,现有,语义推测,语义分类,high
强弱电类,小型灯,11,灯具照明,11.002,光源、配件,11.002.001,传统光源,11.002.001.001,白炽灯,现有,语义推测,语义分类,low
强弱电类,少油断路器,31,中低压配电,31.008,中压配电,31.008.002,真空断路器,31.008.002.001,真空断路器,现有,语义推测,语义分类,low
强弱电类,就地按钮,14,工控自动化,14.002,工业控制,14.002.009,控制开关,14.002.009.004,按钮开关,现有,语义推测,语义分类,high
强弱电类,差周率继电器,14,工控自动化,14.002,工业控制,14.002.008,继电器,14.002.008.009,继电器其它,现有,语义推测,语义分类,low
强弱电类,干式变压器,31,中低压配电,31.005,电力变压器,31.005.001,干式变压器,,,现有,语义推测,语义分类,high
强弱电类,广播音响系统,02,安防,02.006,安防监控设备,02.006.011,安防监控设备其它,(待生成),广播音响系统  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,广照型,11,灯具照明,11.001,室内灯具,11.001.001,商业灯具,(待生成),广照型灯具  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,应急照明灯,11,灯具照明,11.006,应急灯具,11.006.002,消防应急灯具,,,现有,语义推测,语义分类,high
强弱电类,应急照明线,12,电线电缆,12.001,电气装备用电线电缆,12.001.014,塑铜线,12.001.014.003,耐火塑铜线（N-BV）,现有,语义推测,语义分类,med
强弱电类,应急白炽灯,11,灯具照明,11.006,应急灯具,11.006.002,消防应急灯具,,,现有,语义推测,语义分类,high
强弱电类,应急荧光灯,11,灯具照明,11.006,应急灯具,11.006.002,消防应急灯具,,,现有,语义推测,语义分类,high
强弱电类,庭园灯,11,灯具照明,11.004,室外灯具,11.004.001,道路交通灯具,11.004.001.002,庭院灯,现有,语义推测,语义分类,high
强弱电类,开启式开关,31,中低压配电,31.003,低压配电,31.003.005,隔离开关,31.003.005.003,刀开关,现有,语义推测,语义分类,low
强弱电类,弧光灯,11,灯具照明,11.002,光源、配件,11.002.003,HID光源,11.002.003.001,金卤灯,现有,语义推测,语义分类,low
强弱电类,弹簧储能操动机构,31,中低压配电,31.008,中压配电,31.008.002,真空断路器,(待生成),弹簧储能操动机构  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,录像带,02,安防,02.006,安防监控设备,02.006.008,录像机,(待生成),录像带  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,录像机,02,安防,02.006,安防监控设备,02.006.008,录像机,02.006.008.001,录像机,现有,语义推测,语义分类,high
强弱电类,微动开关,14,工控自动化,14.002,工业控制,14.002.009,控制开关,14.002.009.006,微动开关,现有,语义推测,语义分类,high
强弱电类,快速熔断器,31,中低压配电,31.001,终端配电,31.001.004,熔断器,31.001.004.001,熔断器,现有,语义推测,语义分类,med
强弱电类,总开关,31,中低压配电,31.003,低压配电,31.003.006,塑壳断路器,31.003.006.001,塑壳断路器,现有,语义推测,语义分类,low
强弱电类,总配电箱,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,31.002.002.001,成套配电箱,现有,语义推测,语义分类,high
强弱电类,感光探测器,14,工控自动化,14.001,工业自动化,14.001.004,传感器,(待生成),感光探测器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,感压探测器,14,工控自动化,14.001,工业自动化,14.001.004,传感器,(待生成),感压探测器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,感应电动机,14,工控自动化,14.001,工业自动化,14.001.002,运动控制,(待生成),感应电动机  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,感温探测器,14,工控自动化,14.001,工业自动化,14.001.004,传感器,(待生成),感温探测器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,感烟探测器,26,消防,26.003,消防电,26.003.001,消防报警触发探测器,26.003.001.003,感烟火灾探测器,现有,语义推测,语义救回,high
强弱电类,户内交流金属铠装移动式开关柜,31,中低压配电,31.008,中压配电,31.008.001,中压配电其它,31.008.001.001,中压配电其它,现有,语义推测,语义分类,low
强弱电类,手动报警器,14,工控自动化,14.002,工业控制,14.002.003,信号灯,14.002.003.003,报警器,现有,语义推测,语义分类,med
强弱电类,手动操动机构,31,中低压配电,31.008,中压配电,31.008.002,真空断路器,(待生成),手动操动机构  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,手车式高压开关柜,31,中低压配电,31.008,中压配电,31.008.001,中压配电其它,31.008.001.001,中压配电其它,现有,语义推测,语义分类,low
强弱电类,打印机,14,工控自动化,14.001,工业自动化,14.001.007,工控机,(待生成),打印机  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,扩展器,14,工控自动化,14.001,工业自动化,14.001.001,PLC可编程控制器,14.001.001.008,PLC模块其它,现有,语义推测,语义分类,low
强弱电类,扩音器,02,安防,02.003,防汛救灾,02.003.001,现场警戒,02.003.001.003,喊话器,现有,语义推测,语义分类,high
强弱电类,扬声器,12,电线电缆,12.006,通信电缆和通信光缆,12.006.001,音频线,(待生成),扬声器  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,护套电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.018,护套线,12.001.018.001,护套线（RVV）,现有,语义推测,语义分类,high
强弱电类,报警喇叭,14,工控自动化,14.002,工业控制,14.002.003,信号灯,14.002.003.003,报警器,现有,语义推测,语义分类,med
强弱电类,报警灯,11,灯具照明,11.003,专业灯具,11.003.002,航空灯具,11.003.002.003,报警灯,现有,语义推测,语义分类,high
强弱电类,抽屉式低压配电屏,31,中低压配电,31.003,低压配电,31.003.002,低压配电设备,31.003.002.001,低压配电配件,现有,语义推测,语义分类,low
强弱电类,拉线开关,14,工控自动化,14.002,工业控制,14.002.009,控制开关,(待生成),拉线开关  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,换相开关,31,中低压配电,31.003,低压配电,31.003.004,双电源转换开关,31.003.004.001,双电源转换开关,现有,语义推测,语义分类,low
强弱电类,排风扇,10,电器,10.001,商用电器,10.001.005,商用电器其它,10.001.005.002,工业电风扇,现有,语义推测,语义分类,med
强弱电类,接地干线,13,电力穿线,13.009,接地系统,13.009.002,保护接地,13.009.002.004,铜接地线,现有,语义推测,语义分类,med
强弱电类,接地开关,31,中低压配电,31.003,低压配电,31.003.005,隔离开关,31.003.005.001,隔离开关,现有,语义推测,语义分类,low
强弱电类,接地极,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.005,镀铜接地棒,现有,语义推测,语义分类,high
强弱电类,接地母线,13,电力穿线,13.009,接地系统,13.009.002,保护接地,13.009.002.004,铜接地线,现有,语义推测,语义分类,med
强弱电类,接地火花避雷器,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.003,避雷器,现有,语义推测,语义分类,high
强弱电类,接地螺栓,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.008,预埋式接地端子,现有,语义推测,语义分类,low
强弱电类,接插式母线,12,电线电缆,12.002,电力电缆,12.002.002,母线,12.002.002.001,母线槽,现有,语义推测,语义分类,high
强弱电类,接收机,02,安防,02.006,安防监控设备,02.006.004,传输设备,(待生成),信号接收机  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,接线板,31,中低压配电,31.007,电气辅材,31.007.003,接线端子,31.007.003.001,接线端子,现有,语义推测,语义分类,high
强弱电类,接线柱,31,中低压配电,31.007,电气辅材,31.007.003,接线端子,31.007.003.001,接线端子,现有,语义推测,语义分类,med
强弱电类,控制变压器,31,中低压配电,31.006,电源设备,31.006.005,变压器,31.006.005.006,其他变压器,现有,语义推测,语义分类,med
强弱电类,控制柜,31,中低压配电,31.002,配电箱,31.002.002,成套配电箱,(待生成),电气控制柜  ← 新建,新补,语义推测,语义推测·需建新叶,new
强弱电类,插座箱,31,中低压配电,31.002,配电箱,31.002.001,配电箱箱体,31.002.001.001,配电箱箱体,现有,语义推测,语义分类,low
强弱电类,插式灯头,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.007,灯口,现有,语义推测,语义分类,med
强弱电类,插接装置,31,中低压配电,31.007,电气辅材,31.007.004,工业连接器,31.007.004.001,工业插头,现有,语义推测,语义分类,med
